experiment_id,alpha,mu,seed,strategy,straggler_fraction,final_accuracy,best_accuracy,convergence_round,accuracy_std,worst_client_accuracy,per_client_final_accuracy,runtime_seconds
alpha0.3_mu0.0_seed42_fedavg_straggler0.0,0.3,0.0,42,fedavg,0.0,0.475,0.5125,1,0.0610072458662266,0.6666666666666666,"[0.840531561461794, 0.6666666666666666, 0.7020905923344948, 0.782608695652174, 0.7605633802816901]",7.997887134552002
alpha0.3_mu0.0_seed42_fedprox_straggler0.0,0.3,0.0,42,fedprox,0.0,0.475,0.5125,1,0.0610072458662266,0.6666666666666666,"[0.840531561461794, 0.6666666666666666, 0.7020905923344948, 0.782608695652174, 0.7605633802816901]",7.94061541557312
alpha0.3_mu0.0_seed123_fedavg_straggler0.0,0.3,0.0,123,fedavg,0.0,0.465,0.53,1,0.0900195066449607,0.554006968641115,"[0.8205980066445183, 0.6036036036036037, 0.554006968641115, 0.6521739130434783, 0.676056338028169]",7.59892463684082
alpha0.3_mu0.0_seed123_fedprox_straggler0.0,0.3,0.0,123,fedprox,0.0,0.465,0.53,1,0.0900195066449607,0.554006968641115,"[0.8205980066445183, 0.6036036036036037, 0.554006968641115, 0.6521739130434783, 0.676056338028169]",7.707033157348633
alpha0.3_mu0.0_seed777_fedavg_straggler0.0,0.3,0.0,777,fedavg,0.0,0.4675,0.5475,2,0.1563092501483854,0.4647887323943662,"[0.9036544850498339, 0.6036036036036037, 0.7142857142857143, 0.8260869565217391, 0.4647887323943662]",7.363824844360352
alpha0.3_mu0.0_seed777_fedprox_straggler0.0,0.3,0.0,777,fedprox,0.0,0.4675,0.5475,2,0.1563092501483854,0.4647887323943662,"[0.9036544850498339, 0.6036036036036037, 0.7142857142857143, 0.8260869565217391, 0.4647887323943662]",7.370393514633179
alpha0.3_mu0.01_seed42_fedprox_straggler0.0,0.3,0.01,42,fedprox,0.0,0.445,0.55,1,0.0798860865310266,0.6216216216216216,"[0.8571428571428571, 0.6216216216216216, 0.6951219512195121, 0.782608695652174, 0.7183098591549296]",8.53560185432434
alpha0.3_mu0.01_seed123_fedprox_straggler0.0,0.3,0.01,123,fedprox,0.0,0.4525,0.555,1,0.1378087281633495,0.4507042253521127,"[0.7973421926910299, 0.6576576576576577, 0.4808362369337979, 0.7391304347826086, 0.4507042253521127]",8.588078022003174
alpha0.3_mu0.01_seed777_fedprox_straggler0.0,0.3,0.01,777,fedprox,0.0,0.46,0.535,2,0.1598443465226696,0.4366197183098591,"[0.8504983388704319, 0.5045045045045045, 0.7090592334494773, 0.782608695652174, 0.43661971830985913]",9.67875599861145
alpha0.3_mu0.1_seed42_fedprox_straggler0.0,0.3,0.1,42,fedprox,0.0,0.4575,0.525,1,0.091425328302912,0.5945945945945946,"[0.8504983388704319, 0.5945945945945946, 0.6289198606271778, 0.7391304347826086, 0.7464788732394366]",7.253849983215332
alpha0.3_mu0.1_seed123_fedprox_straggler0.0,0.3,0.1,123,fedprox,0.0,0.4675,0.545,1,0.0985885949759244,0.6045296167247387,"[0.8803986710963455, 0.6756756756756757, 0.6045296167247387, 0.6956521739130435, 0.6197183098591549]",7.213562488555908
alpha0.3_mu0.1_seed777_fedprox_straggler0.0,0.3,0.1,777,fedprox,0.0,0.4675,0.5575,2,0.1242532750908781,0.5774647887323944,"[0.8770764119601329, 0.6486486486486487, 0.5888501742160279, 0.8260869565217391, 0.5774647887323944]",7.345526218414307
alpha0.3_mu1.0_seed42_fedprox_straggler0.0,0.3,1.0,42,fedprox,0.0,0.4825,0.5425,1,0.1254851309034159,0.4756097560975609,"[0.8239202657807309, 0.5945945945945946, 0.47560975609756095, 0.6956521739130435, 0.7746478873239436]",7.226605415344238
alpha0.3_mu1.0_seed123_fedprox_straggler0.0,0.3,1.0,123,fedprox,0.0,0.5125,0.5325,2,0.1151240086400405,0.5574912891986062,"[0.9003322259136213, 0.6306306306306306, 0.5574912891986062, 0.6956521739130435, 0.7323943661971831]",10.208837747573853
alpha0.3_mu1.0_seed777_fedprox_straggler0.0,0.3,1.0,777,fedprox,0.0,0.55,0.55,3,0.1227433830654632,0.5383275261324042,"[0.8903654485049833, 0.6036036036036037, 0.5383275261324042, 0.6956521739130435, 0.7605633802816901]",7.203140735626221
alpha1.0_mu0.0_seed42_fedavg_straggler0.0,1.0,0.0,42,fedavg,0.0,0.48,0.5225,1,0.0530622208293566,0.5217391304347826,"[0.6591549295774648, 0.5921052631578947, 0.5892857142857143, 0.5217391304347826, 0.6666666666666666]",7.378553628921509
alpha1.0_mu0.0_seed42_fedprox_straggler0.0,1.0,0.0,42,fedprox,0.0,0.48,0.5225,1,0.0530622208293566,0.5217391304347826,"[0.6591549295774648, 0.5921052631578947, 0.5892857142857143, 0.5217391304347826, 0.6666666666666666]",11.889896392822266
alpha1.0_mu0.0_seed123_fedavg_straggler0.0,1.0,0.0,123,fedavg,0.0,0.4825,0.5225,2,0.0181671147214675,0.5652173913043478,"[0.6169014084507042, 0.5877192982456141, 0.6071428571428571, 0.5652173913043478, 0.6045751633986928]",8.435407161712646
alpha1.0_mu0.0_seed123_fedprox_straggler0.0,1.0,0.0,123,fedprox,0.0,0.4825,0.5225,2,0.0181671147214675,0.5652173913043478,"[0.6169014084507042, 0.5877192982456141, 0.6071428571428571, 0.5652173913043478, 0.6045751633986928]",7.72375226020813
alpha1.0_mu0.0_seed777_fedavg_straggler0.0,1.0,0.0,777,fedavg,0.0,0.5175,0.53,1,0.0984569561723143,0.4347826086956521,"[0.6985915492957746, 0.6447368421052632, 0.6190476190476191, 0.43478260869565216, 0.7058823529411765]",8.649161338806152
alpha1.0_mu0.0_seed777_fedprox_straggler0.0,1.0,0.0,777,fedprox,0.0,0.5175,0.53,1,0.0984569561723143,0.4347826086956521,"[0.6985915492957746, 0.6447368421052632, 0.6190476190476191, 0.43478260869565216, 0.7058823529411765]",7.35686469078064
alpha1.0_mu0.01_seed42_fedprox_straggler0.0,1.0,0.01,42,fedprox,0.0,0.5225,0.53,3,0.0484392399825852,0.5652173913043478,"[0.6985915492957746, 0.6622807017543859, 0.6011904761904762, 0.5652173913043478, 0.6666666666666666]",7.275718688964844
alpha1.0_mu0.01_seed123_fedprox_straggler0.0,1.0,0.01,123,fedprox,0.0,0.4925,0.525,2,0.0263300092783208,0.5952380952380952,"[0.6619718309859155, 0.6578947368421053, 0.5952380952380952, 0.6086956521739131, 0.6339869281045751]",7.30931282043457
alpha1.0_mu0.01_seed777_fedprox_straggler0.0,1.0,0.01,777,fedprox,0.0,0.5025,0.5325,1,0.0384145814940892,0.5877192982456141,"[0.6535211267605634, 0.5877192982456141, 0.6190476190476191, 0.6521739130434783, 0.7026143790849673]",8.37856125831604
alpha1.0_mu0.1_seed42_fedprox_straggler0.0,1.0,0.1,42,fedprox,0.0,0.4975,0.525,3,0.0699409347078581,0.5119047619047619,"[0.6873239436619718, 0.6491228070175439, 0.5119047619047619, 0.5652173913043478, 0.6862745098039216]",8.2348313331604
alpha1.0_mu0.1_seed123_fedprox_straggler0.0,1.0,0.1,123,fedprox,0.0,0.475,0.515,2,0.0315016020994254,0.5952380952380952,"[0.6366197183098592, 0.6842105263157895, 0.5952380952380952, 0.6086956521739131, 0.6111111111111112]",7.308539867401123
alpha1.0_mu0.1_seed777_fedprox_straggler0.0,1.0,0.1,777,fedprox,0.0,0.5275,0.5275,1,0.044161337394714,0.6071428571428571,"[0.6394366197183099, 0.6096491228070176, 0.6071428571428571, 0.6521739130434783, 0.7287581699346405]",7.406062364578247
alpha1.0_mu1.0_seed42_fedprox_straggler0.0,1.0,1.0,42,fedprox,0.0,0.53,0.54,3,0.0523439584040097,0.5535714285714286,"[0.5690140845070423, 0.6447368421052632, 0.5535714285714286, 0.5652173913043478, 0.6862745098039216]",7.697350263595581
alpha1.0_mu1.0_seed123_fedprox_straggler0.0,1.0,1.0,123,fedprox,0.0,0.495,0.5275,2,0.0322158016856454,0.5714285714285714,"[0.6591549295774648, 0.6052631578947368, 0.5714285714285714, 0.6521739130434783, 0.630718954248366]",7.327949285507202
alpha1.0_mu1.0_seed777_fedprox_straggler0.0,1.0,1.0,777,fedprox,0.0,0.52,0.5225,2,0.0241533255744785,0.6071428571428571,"[0.6197183098591549, 0.6271929824561403, 0.6071428571428571, 0.6086956521739131, 0.673202614379085]",9.19952630996704
alpha0.05_mu0.0_seed42_fedavg_straggler0.0,0.05,0.0,42,fedavg,0.0,0.4775,0.505,2,0.0818526591419992,0.8059701492537313,"[0.8273972602739726, 0.9761904761904762, 0.8059701492537313, 1.0, 0.9695121951219512]",6.506607055664063
